iter	Passed	Remaining
0	1	104
1	1	97
2	2	94
3	3	86
4	4	85
5	5	86
6	6	90
7	7	88
8	8	86
9	9	85
10	10	84
11	11	83
12	12	82
13	13	81
14	14	81
15	15	80
16	16	79
17	17	77
18	17	76
19	19	76
20	20	75
21	20	74
22	22	73
23	23	72
24	24	72
25	24	70
26	25	69
27	26	68
28	27	67
29	28	66
30	29	66
31	30	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	38	56
41	39	54
42	40	53
43	41	52
44	41	51
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	50	43
54	51	41
55	52	41
56	53	40
57	54	39
58	55	38
59	55	37
60	56	36
61	57	35
62	58	34
63	59	33
64	60	32
65	61	31
66	62	30
67	63	29
68	64	28
69	64	27
70	65	26
71	67	26
72	68	25
73	68	24
74	69	23
75	70	22
76	71	21
77	72	20
78	73	19
79	74	18
80	75	17
81	76	16
82	77	15
83	78	14
84	79	13
85	79	13
86	81	12
87	82	11
88	83	10
89	84	9
90	84	8
91	85	7
92	86	6
93	87	5
94	88	4
95	89	3
96	90	2
97	91	1
98	92	0
99	93	0
